,Domain,Type,TLD Manager
0,.aarp,generic,AARP
1,.abarth,generic,Fiat Chrysler Automobiles N.V.
2,.abb,generic,ABB Ltd
3,.abbott,generic,"Abbott Laboratories, Inc."
4,.abbvie,generic,AbbVie Inc.
5,.abc,generic,"Disney Enterprises, Inc."
6,.able,generic,Able Inc.
7,.abogado,generic,Minds + Machines Group Limited
8,.abudhabi,generic,Abu Dhabi Systems and Information Centre
9,.ac,country-code,Internet Computer Bureau Limited
10,.academy,generic,"Binky Moon, LLC"
11,.accenture,generic,Accenture plc
12,.accountant,generic,dot Accountant Limited
13,.accountants,generic,"Binky Moon, LLC"
14,.aco,generic,ACO Severin Ahlmann GmbH & Co. KG
15,.active,generic,Not assigned
16,.actor,generic,United TLD Holdco Ltd.
17,.ad,country-code,Andorra Telecom
18,.adac,generic,Allgemeiner Deutscher Automobil-Club e.V. (ADAC)
19,.ads,generic,Charleston Road Registry Inc.
20,.adult,generic,ICM Registry AD LLC
21,.ae,country-code,Telecommunication Regulatory Authority (TRA)
22,.aeg,generic,Aktiebolaget Electrolux
23,.aero,sponsored,Societe Internationale de Telecommunications Aeronautique (SITA INC USA)
24,.aetna,generic,Aetna Life Insurance Company
25,.af,country-code,Ministry of Communications and IT
26,.afamilycompany,generic,"Johnson Shareholdings, Inc."
27,.afl,generic,Australian Football League
28,.africa,generic,ZA Central Registry NPC trading as Registry.Africa
29,.ag,country-code,UHSA School of Medicine
30,.agakhan,generic,Fondation Aga Khan (Aga Khan Foundation)
31,.agency,generic,"Binky Moon, LLC"
32,.ai,country-code,Government of Anguilla
33,.aig,generic,"American International Group, Inc."
34,.aigo,generic,"aigo Digital Technology Co,Ltd."
35,.airbus,generic,Airbus S.A.S.
36,.airforce,generic,United TLD Holdco Ltd.
37,.airtel,generic,Bharti Airtel Limited
38,.akdn,generic,Fondation Aga Khan (Aga Khan Foundation)
39,.al,country-code,Electronic and Postal Communications Authority - AKEP
40,.alfaromeo,generic,Fiat Chrysler Automobiles N.V.
41,.alibaba,generic,Alibaba Group Holding Limited
42,.alipay,generic,Alibaba Group Holding Limited
43,.allfinanz,generic,Allfinanz Deutsche Vermögensberatung Aktiengesellschaft
44,.allstate,generic,Allstate Fire and Casualty Insurance Company
45,.ally,generic,Ally Financial Inc.
46,.alsace,generic,REGION GRAND EST
47,.alstom,generic,ALSTOM
48,.am,country-code,"""Internet Society"" Non-governmental Organization"
49,.amazon,generic,"Amazon Registry Services, Inc."
50,.americanexpress,generic,"American Express Travel Related Services Company, Inc."
51,.americanfamily,generic,"AmFam, Inc."
52,.amex,generic,"American Express Travel Related Services Company, Inc."
53,.amfam,generic,"AmFam, Inc."
54,.amica,generic,Amica Mutual Insurance Company
55,.amsterdam,generic,Gemeente Amsterdam
56,.an,country-code,Retired
57,.analytics,generic,Campus IP LLC
58,.android,generic,Charleston Road Registry Inc.
59,.anquan,generic,QIHOO 360 TECHNOLOGY CO. LTD.
60,.anz,generic,Australia and New Zealand Banking Group Limited
61,.ao,country-code,Faculdade de Engenharia da Universidade Agostinho Neto
62,.aol,generic,OATH Inc.
63,.apartments,generic,"Binky Moon, LLC"
64,.app,generic,Charleston Road Registry Inc.
65,.apple,generic,Apple Inc.
66,.aq,country-code,Antarctica Network Information Centre Limited
67,.aquarelle,generic,Aquarelle.com
68,.ar,country-code,Presidencia de la Nación – Secretaría Legal y Técnica
69,.arab,generic,League of Arab States
70,.aramco,generic,Aramco Services Company
71,.archi,generic,Afilias Limited
72,.army,generic,United TLD Holdco Ltd.
73,.arpa,infrastructure,Internet Architecture Board (IAB)
74,.art,generic,UK Creative Ideas Limited
75,.arte,generic,Association Relative à la Télévision Européenne G.E.I.E.
76,.as,country-code,AS Domain Registry
77,.asda,generic,"Wal-Mart Stores, Inc."
78,.asia,sponsored,DotAsia Organisation Ltd.
79,.associates,generic,"Binky Moon, LLC"
80,.at,country-code,nic.at GmbH
81,.athleta,generic,"The Gap, Inc."
82,.attorney,generic,"United TLD Holdco, Ltd"
83,.au,country-code,.au Domain Administration (auDA)
84,.auction,generic,"United TLD HoldCo, Ltd."
85,.audi,generic,AUDI Aktiengesellschaft
86,.audible,generic,"Amazon Registry Services, Inc."
87,.audio,generic,"Uniregistry, Corp."
88,.auspost,generic,Australian Postal Corporation
89,.author,generic,"Amazon Registry Services, Inc."
90,.auto,generic,Cars Registry Limited
91,.autos,generic,"DERAutos, LLC"
92,.avianca,generic,Avianca Holdings S.A.
93,.aw,country-code,SETAR
94,.aws,generic,"Amazon Registry Services, Inc."
95,.ax,country-code,Ålands landskapsregering
96,.axa,generic,AXA SA
97,.az,country-code,IntraNS
98,.azure,generic,Microsoft Corporation
99,.ba,country-code,Universtiy Telinformatic Centre (UTIC)
100,.baby,generic,XYZ.COM LLC
101,.baidu,generic,"Baidu, Inc."
102,.banamex,generic,Citigroup Inc.
103,.bananarepublic,generic,"The Gap, Inc."
104,.band,generic,"United TLD Holdco, Ltd"
105,.bank,generic,"fTLD Registry Services, LLC"
106,.bar,generic,Punto 2012 Sociedad Anonima Promotora de Inversion de Capital Variable
107,.barcelona,generic,Municipi de Barcelona
108,.barclaycard,generic,Barclays Bank PLC
109,.barclays,generic,Barclays Bank PLC
110,.barefoot,generic,"Gallo Vineyards, Inc."
111,.bargains,generic,"Binky Moon, LLC"
112,.baseball,generic,"MLB Advanced Media DH, LLC"
113,.basketball,generic,Fédération Internationale de Basketball (FIBA)
114,.bauhaus,generic,Werkhaus GmbH
115,.bayern,generic,Bayern Connect GmbH
116,.bb,country-code,Government of Barbados
117,.bbc,generic,British Broadcasting Corporation
118,.bbt,generic,BB&T Corporation
119,.bbva,generic,"BANCO BILBAO VIZCAYA ARGENTARIA, S.A."
120,.bcg,generic,"The Boston Consulting Group, Inc."
121,.bcn,generic,Municipi de Barcelona
122,.bd,country-code,Posts and Telecommunications Division
123,.be,country-code,DNS Belgium vzw/asbl
124,.beats,generic,"Beats Electronics, LLC"
125,.beauty,generic,L'Oréal
126,.beer,generic,Minds + Machines Group Limited
127,.bentley,generic,Bentley Motors Limited
128,.berlin,generic,dotBERLIN GmbH & Co. KG
129,.best,generic,BestTLD Pty Ltd
130,.bestbuy,generic,"BBY Solutions, Inc."
131,.bet,generic,Afilias Limited
132,.bf,country-code,ARCE-AutoritÈ de RÈgulation des Communications Electroniques
133,.bg,country-code,Register.BG
134,.bh,country-code,Telecommunications Regulatory Authority (TRA)
135,.bharti,generic,Bharti Enterprises (Holding) Private Limited
136,.bi,country-code,Centre National de l'Informatique
137,.bible,generic,American Bible Society
138,.bid,generic,dot Bid Limited
139,.bike,generic,"Binky Moon, LLC"
140,.bing,generic,Microsoft Corporation
141,.bingo,generic,"Binky Moon, LLC"
142,.bio,generic,Afilias Limited
143,.biz,generic-restricted,"Neustar, Inc."
144,.bj,country-code,Autorité de Régulation des Communications Electroniques et de la Poste du Bénin (ARCEP BENIN)
145,.bl,country-code,Not assigned
146,.black,generic,Afilias Limited
147,.blackfriday,generic,"Uniregistry, Corp."
148,.blanco,generic,Not assigned
149,.blockbuster,generic,Dish DBS Corporation
150,.blog,generic,"Knock Knock WHOIS There, LLC"
151,.bloomberg,generic,Bloomberg IP Holdings LLC
152,.blue,generic,Afilias Limited
153,.bm,country-code,"Registry General Department, Ministry of Home Affairs"
154,.bms,generic,Bristol-Myers Squibb Company
155,.bmw,generic,Bayerische Motoren Werke Aktiengesellschaft
156,.bn,country-code,Authority for Info-communications Technology Industry of Brunei Darussalam (AITI)
157,.bnl,generic,Not assigned
158,.bnpparibas,generic,BNP Paribas
159,.bo,country-code,Agencia para el Desarrollo de la Información de la Sociedad en Bolivia
160,.boats,generic,"DERBoats, LLC"
161,.boehringer,generic,Boehringer Ingelheim International GmbH
162,.bofa,generic,Bank of America Corporation
163,.bom,generic,Núcleo de Informação e Coordenação do Ponto BR - NIC.br
164,.bond,generic,Shortdot SA
165,.boo,generic,Charleston Road Registry Inc.
166,.book,generic,"Amazon Registry Services, Inc."
167,.booking,generic,Booking.com B.V.
168,.boots,generic,Not assigned
169,.bosch,generic,Robert Bosch GMBH
170,.bostik,generic,Bostik SA
171,.boston,generic,"Boston TLD Management, LLC"
172,.bot,generic,"Amazon Registry Services, Inc."
173,.boutique,generic,"Binky Moon, LLC"
174,.box,generic,NS1 Limited
175,.bq,country-code,Not assigned
176,.br,country-code,Comite Gestor da Internet no Brasil
177,.bradesco,generic,Banco Bradesco S.A.
178,.bridgestone,generic,Bridgestone Corporation
179,.broadway,generic,"Celebrate Broadway, Inc."
180,.broker,generic,DOTBROKER REGISTRY LTD
181,.brother,generic,"Brother Industries, Ltd."
182,.brussels,generic,DNS.be vzw
183,.bs,country-code,University of The Bahamas
184,.bt,country-code,Ministry of Information and Communications
185,.budapest,generic,Minds + Machines Group Limited
186,.bugatti,generic,Bugatti International SA
187,.build,generic,Plan Bee LLC
188,.builders,generic,"Binky Moon, LLC"
189,.business,generic,"Binky Moon, LLC"
190,.buy,generic,"Amazon Registry Services, INC"
191,.buzz,generic,DOTSTRATEGY CO.
192,.bv,country-code,Norid A/S
193,.bw,country-code,Botswana Communications Regulatory Authority (BOCRA)
194,.by,country-code,"Reliable Software, Ltd."
195,.bz,country-code,University of Belize
196,.bzh,generic,Association www.bzh
197,.ca,country-code,Canadian Internet Registration Authority (CIRA) Autorité Canadienne pour les enregistrements Internet (ACEI)
198,.cab,generic,"Binky Moon, LLC"
199,.cafe,generic,"Binky Moon, LLC"
200,.cal,generic,Charleston Road Registry Inc.
201,.call,generic,"Amazon Registry Services, Inc."
202,.calvinklein,generic,PVH gTLD Holdings LLC
203,.cam,generic,AC Webconnecting Holding B.V.
204,.camera,generic,"Binky Moon, LLC"
205,.camp,generic,"Binky Moon, LLC"
206,.cancerresearch,generic,Australian Cancer Research Foundation
207,.canon,generic,Canon Inc.
208,.capetown,generic,ZA Central Registry NPC trading as ZA Central Registry
209,.capital,generic,"Binky Moon, LLC"
210,.capitalone,generic,Capital One Financial Corporation
211,.car,generic,Cars Registry Limited
212,.caravan,generic,"Caravan International, Inc."
213,.cards,generic,"Binky Moon, LLC"
214,.care,generic,"Binky Moon, LLC"
215,.career,generic,dotCareer LLC
216,.careers,generic,"Binky Moon, LLC"
217,.cars,generic,Cars Registry Limited
218,.cartier,generic,Not assigned
219,.casa,generic,Minds + Machines Group Limited
220,.case,generic,CNH Industrial N.V.
221,.caseih,generic,CNH Industrial N.V.
222,.cash,generic,"Binky Moon, LLC"
223,.casino,generic,"Binky Moon, LLC"
224,.cat,sponsored,Fundacio puntCAT
225,.catering,generic,"Binky Moon, LLC"
226,.catholic,generic,Pontificium Consilium de Comunicationibus Socialibus (PCCS) (Pontifical Council for Social Communication)
227,.cba,generic,COMMONWEALTH BANK OF AUSTRALIA
228,.cbn,generic,"The Christian Broadcasting Network, Inc."
229,.cbre,generic,"CBRE, Inc."
230,.cbs,generic,CBS Domains Inc.
231,.cc,country-code,eNIC Cocos (Keeling) Islands Pty.
232,.cd,country-code,Office Congolais des Postes et Télécommunications - OCPT
233,.ceb,generic,The Corporate Executive Board Company
234,.center,generic,"Binky Moon, LLC"
235,.ceo,generic,CEOTLD Pty Ltd
236,.cern,generic,"European Organization for Nuclear Research (""CERN"")"
237,.cf,country-code,Societe Centrafricaine de Telecommunications (SOCATEL)
238,.cfa,generic,CFA Institute
239,.cfd,generic,DOTCFD REGISTRY LTD
240,.cg,country-code,Interpoint Switzerland
241,.ch,country-code,SWITCH The Swiss Education & Research Network
242,.chanel,generic,Chanel International B.V.
243,.channel,generic,Charleston Road Registry Inc.
244,.charity,generic,"Corn Lake, LLC"
245,.chase,generic,"JPMorgan Chase Bank, National Association"
246,.chat,generic,"Binky Moon, LLC"
247,.cheap,generic,"Binky Moon, LLC"
248,.chintai,generic,CHINTAI Corporation
249,.chloe,generic,Not assigned
250,.christmas,generic,"Uniregistry, Corp."
251,.chrome,generic,Charleston Road Registry Inc.
252,.chrysler,generic,Not assigned
253,.church,generic,"Binky Moon, LLC"
254,.ci,country-code,Autorité de Régulation des Télécommunications/TIC de Côte d’lvoire (ARTCI)
255,.cipriani,generic,Hotel Cipriani Srl
256,.circle,generic,"Amazon Registry Services, Inc."
257,.cisco,generic,"Cisco Technology, Inc."
258,.citadel,generic,Citadel Domain LLC
259,.citi,generic,Citigroup Inc.
260,.citic,generic,CITIC Group Corporation
261,.city,generic,"Binky Moon, LLC"
262,.cityeats,generic,"Lifestyle Domain Holdings, Inc."
263,.ck,country-code,Telecom Cook Islands Ltd.
264,.cl,country-code,NIC Chile (University of Chile)
265,.claims,generic,"Binky Moon, LLC"
266,.cleaning,generic,"Binky Moon, LLC"
267,.click,generic,"Uniregistry, Corp."
268,.clinic,generic,"Binky Moon, LLC"
269,.clinique,generic,The Estée Lauder Companies Inc.
270,.clothing,generic,"Binky Moon, LLC"
271,.cloud,generic,ARUBA PEC S.p.A.
272,.club,generic,".CLUB DOMAINS, LLC"
273,.clubmed,generic,Club Méditerranée S.A.
274,.cm,country-code,Cameroon Telecommunications (CAMTEL)
275,.cn,country-code,China Internet Network Information Center (CNNIC)
276,.co,country-code,.CO Internet S.A.S.
277,.coach,generic,"Binky Moon, LLC"
278,.codes,generic,"Binky Moon, LLC"
279,.coffee,generic,"Binky Moon, LLC"
280,.college,generic,XYZ.COM LLC
281,.cologne,generic,dotKoeln GmbH
